"sex","la","year","e50","e65","e80"
"male","E06000028",2007,78.8707124010554,81.7293233082707,86.0091533180778
"male","E06000028",2008,79.2687116564417,81.8677685950413,86.0143737166324
"male","E06000028",2009,79.2440476190476,82.3419972640219,86.2857142857143
"male","E06000028",2010,79.0538720538721,82.2558139534884,86.4962121212121
"male","E06000028",2011,78.718820861678,81.5469755469755,86.2142857142857
"male","E06000028",2012,79.5859649122807,82.2424639580603,86.4007633587786
"male","E06000028",2013,79.1650055370986,81.8898623279099,86.7020872865275
"male","E06000029",2001,NA,NA,NA
"male","E06000029",2002,78.4172661870504,80.6421725239617,86.2191011235955
"male","E06000029",2003,78.534328358209,80.7857142857143,85.6083333333333
"male","E06000029",2004,78.3337679269883,80.6836734693878,85.7274939172749
"male","E06000029",2005,78.8901903367496,81.233660130719,86.0288713910761
"male","E06000029",2006,78.1446111869031,80.7140649149923,85.5725388601036
"male","E06000029",2007,78.7316341829086,81.572402044293,86.0839895013123
"male","E06000029",2008,79.7986206896552,82.1457055214724,86.3702830188679
"male","E06000029",2009,79.5604838709677,81.602658788774,86.1995305164319
